Date,Open,High,Low,Close
12/31/2019,"7,254","7,309","7,132","7,171"
12/30/2019,"7,402","7,430","7,217","7,254"
12/29/2019,"7,334","7,529","7,295","7,402"
12/28/2019,"7,235","7,359","7,235","7,334"
12/27/2019,"7,208","7,267","7,087","7,235"
12/26/2019,"7,218","7,437","7,179","7,208"
12/25/2019,"7,255","7,268","7,130","7,214"
12/24/2019,"7,328","7,417","7,168","7,255"
12/23/2019,"7,420","7,696","7,302","7,328"
12/22/2019,"7,145","7,463","7,138","7,420"
12/21/2019,"7,209","7,215","7,128","7,147"
12/20/2019,"7,169","7,225","7,094","7,209"
12/19/2019,"7,144","7,447","7,065","7,170"
12/18/2019,"6,633","7,222","6,459","7,143"
12/17/2019,"6,892","6,944","6,602","6,632"
12/16/2019,"7,133","7,152","6,856","6,892"
12/15/2019,"7,092","7,177","7,027","7,133"
12/14/2019,"7,252","7,274","7,022","7,092"
12/13/2019,"7,212","7,300","7,195","7,252"
12/12/2019,"7,204","7,299","7,103","7,212"
12/11/2019,"7,234","7,276","7,151","7,202"
12/10/2019,"7,371","7,396","7,191","7,234"
12/09/2019,"7,564","7,665","7,304","7,375"
12/08/2019,"7,510","7,585","7,409","7,564"
12/07/2019,"7,484","7,617","7,484","7,510"
12/06/2019,"7,390","7,619","7,335","7,484"
12/05/2019,"7,194","7,485","7,177","7,390"
12/04/2019,"7,342","7,740","7,111","7,194"
12/03/2019,"7,331","7,420","7,260","7,342"
12/02/2019,"7,393","7,464","7,193","7,331"
12/01/2019,"7,560","7,581","7,257","7,393"
11/30/2019,"7,721","7,812","7,486","7,559"
11/29/2019,"7,578","7,854","7,393","7,725"
11/28/2019,"7,558","7,661","7,436","7,578"
11/27/2019,"7,124","7,661","6,872","7,559"
11/26/2019,"7,236","7,348","7,054","7,129"
11/25/2019,"7,066","7,372","6,559","7,236"
11/24/2019,"7,295","7,352","6,958","7,066"
11/23/2019,"7,345","7,360","7,118","7,295"
11/22/2019,"7,617","7,722","6,816","7,345"
11/21/2019,"8,102","8,127","7,447","7,617"
11/20/2019,"8,124","8,219","8,051","8,099"
11/19/2019,"8,231","8,233","8,030","8,124"
11/18/2019,"8,565","8,565","8,083","8,231"
11/17/2019,"8,494","8,629","8,409","8,566"
11/16/2019,"8,461","8,533","8,437","8,494"
11/15/2019,"8,660","8,773","8,407","8,462"
11/14/2019,"8,768","8,794","8,578","8,660"
11/13/2019,"8,772","8,833","8,716","8,766"
11/12/2019,"8,744","8,852","8,579","8,772"
11/11/2019,"9,052","9,105","8,618","8,744"
11/10/2019,"8,805","9,127","8,756","9,052"
11/09/2019,"8,867","8,878","8,733","8,803"
11/08/2019,"9,211","9,248","8,687","8,867"
11/07/2019,"9,318","9,374","9,108","9,211"
11/06/2019,"9,360","9,446","9,268","9,318"
11/05/2019,"9,447","9,486","9,200","9,359"
11/04/2019,"9,161","9,540","9,136","9,447"
11/03/2019,"9,322","9,385","9,088","9,168"
11/02/2019,"9,223","9,398","9,214","9,322"
11/01/2019,"9,180","9,298","9,072","9,222"
10/31/2019,"9,192","9,412","8,976","9,180"
10/30/2019,"9,453","9,472","9,033","9,193"
10/29/2019,"9,461","9,549","9,111","9,453"
10/28/2019,"9,611","9,928","9,285","9,467"
10/27/2019,"9,132","9,799","9,103","9,611"
10/26/2019,"8,578","10,412","8,578","9,143"
10/25/2019,"7,464","8,746","7,417","8,589"
10/24/2019,"7,496","7,515","7,369","7,464"
10/23/2019,"8,137","8,137","7,338","7,499"
10/22/2019,"8,211","8,310","8,100","8,137"
10/21/2019,"8,238","8,317","8,169","8,211"
10/20/2019,"7,960","8,311","7,906","8,245"
10/19/2019,"7,955","8,087","7,902","7,952"
10/18/2019,"8,054","8,124","7,849","7,957"
10/17/2019,"7,995","8,126","7,947","8,054"
10/16/2019,"8,157","8,184","7,929","7,994"
10/15/2019,"8,349","8,406","8,133","8,157"
10/14/2019,"8,265","8,400","8,232","8,349"
10/13/2019,"8,352","8,470","8,174","8,265"
10/12/2019,"8,346","8,407","8,257","8,350"
10/11/2019,"8,583","8,791","8,297","8,346"
10/10/2019,"8,599","8,665","8,475","8,582"
10/09/2019,"8,137","8,692","8,130","8,599"
10/08/2019,"8,224","8,345","8,120","8,138"
10/07/2019,"7,911","8,311","7,790","8,217"
10/06/2019,"8,110","8,199","7,797","7,911"
10/05/2019,"8,177","8,228","8,031","8,109"
10/04/2019,"8,157","8,293","8,063","8,177"
10/03/2019,"8,245","8,423","8,100","8,156"
10/02/2019,"8,382","8,423","8,182","8,245"
10/01/2019,"8,246","8,528","8,202","8,392"
09/30/2019,"8,022","8,362","7,741","8,246"
09/29/2019,"8,182","8,338","7,940","8,023"
09/28/2019,"8,074","8,279","8,041","8,182"
09/27/2019,"8,104","8,143","7,887","8,074"
09/26/2019,"8,524","8,657","7,785","8,104"
09/25/2019,"8,589","8,798","8,252","8,528"
09/24/2019,"9,791","9,802","8,064","8,589"
09/23/2019,"10,016","10,082","9,725","9,793"
09/22/2019,"9,972","10,084","9,864","10,016"
09/21/2019,"10,145","10,189","9,965","9,972"
09/20/2019,"10,267","10,317","10,099","10,145"
09/19/2019,"10,202","10,372","9,710","10,267"
09/18/2019,"10,260","10,269","10,105","10,202"
09/17/2019,"10,223","10,354","10,149","10,271"
09/16/2019,"10,284","10,380","10,108","10,212"
09/15/2019,"10,425","10,445","10,276","10,284"
09/14/2019,"10,268","10,428","10,260","10,425"
09/13/2019,"10,337","10,470","10,173","10,268"
09/12/2019,"10,108","10,375","10,054","10,335"
09/11/2019,"10,059","10,224","9,869","10,106"
09/10/2019,"10,239","10,388","9,945","10,059"
09/09/2019,"10,370","10,536","10,101","10,239"
09/08/2019,"10,522","10,593","10,301","10,366"
09/07/2019,"10,358","10,564","10,299","10,522"
09/06/2019,"10,520","10,933","10,232","10,357"
09/05/2019,"10,629","10,696","10,483","10,523"
09/04/2019,"10,714","10,825","10,401","10,631"
09/03/2019,"10,407","10,768","10,297","10,713"
09/02/2019,"9,644","10,460","9,644","10,407"
09/01/2019,"9,505","9,689","9,480","9,641"
08/31/2019,"9,635","9,656","9,466","9,505"
08/30/2019,"9,530","9,687","9,370","9,638"
08/29/2019,"9,672","9,752","9,345","9,530"
08/28/2019,"10,144","10,281","9,599","9,673"
08/27/2019,"10,270","10,400","10,033","10,144"
08/26/2019,"10,001","10,645","9,936","10,268"
08/25/2019,"10,105","10,329","9,972","10,003"
08/24/2019,"10,365","10,454","9,913","10,105"
08/23/2019,"10,186","10,460","10,064","10,357"
08/22/2019,"10,156","10,230","9,779","10,186"
08/21/2019,"10,707","10,849","9,891","10,162"
08/20/2019,"10,685","10,957","10,582","10,707"
08/19/2019,"10,370","10,836","10,276","10,677"
08/18/2019,"10,080","10,511","10,079","10,370"
08/17/2019,"10,398","10,487","10,027","10,074"
08/16/2019,"10,380","10,549","9,775","10,398"
08/15/2019,"10,177","10,398","9,517","10,374"
08/14/2019,"10,889","10,901","10,070","10,177"
08/13/2019,"11,428","11,442","10,778","10,898"
08/12/2019,"11,418","11,563","11,275","11,428"
08/11/2019,"11,321","11,468","11,119","11,411"
08/10/2019,"11,878","11,977","11,239","11,321"
