Date,Open,High,Low,Close
12/31/2015,"426","433","418","432"
12/30/2015,"429","434","421","426"
12/29/2015,"419","432","418","429"
12/28/2015,"422","429","417","419"
12/25/2015,"453","459","451","456"
12/24/2015,"445","460","442","453"
12/23/2015,"437","445","434","445"
12/22/2015,"435","443","434","437"
12/21/2015,"440","446","425","435"
12/18/2015,"455","466","455","463"
12/17/2015,"457","458","450","455"
12/16/2015,"463","466","440","457"
12/15/2015,"441","464","441","463"
12/14/2015,"438","448","429","441"
12/11/2015,"417","453","415","448"
12/10/2015,"417","420","411","417"
12/09/2015,"415","417","405","417"
12/08/2015,"392","400","388","396"
12/07/2015,"395","402","384","392"
12/06/2015,"370","397","369","395"
12/05/2015,"358","371","357","370"
12/04/2015,"367","371","355","358"
12/03/2015,"352","367","351","367"
12/02/2015,"378","379","348","352"
12/01/2015,"375","382","369","378"
11/30/2015,"357","380","355","375"
11/29/2015,"355","360","352","357"
11/28/2015,"349","364","348","355"
11/27/2015,"332","369","332","349"
11/26/2015,"318","334","318","332"
11/25/2015,"328","334","328","333"
11/24/2015,"324","324","317","321"
11/23/2015,"324","325","324","324"
11/22/2015,"321","328","321","326"
11/21/2015,"316","325","315","321"
11/20/2015,"334","335","312","316"
11/19/2015,"333","337","330","334"
11/18/2015,"338","338","331","333"
11/17/2015,"320","340","318","338"
11/16/2015,"334","335","316","320"
11/15/2015,"333","339","316","325"
11/13/2015,"327","343","325","333"
11/12/2015,"311","346","301","327"
11/11/2015,"334","341","299","310"
11/10/2015,"380","383","334","334"
11/09/2015,"371","387","362","380"
11/06/2015,"409","410","354","373"
11/05/2015,"417","447","368","409"
11/04/2015,"393","492","393","417"
11/03/2015,"358","417","355","393"
11/02/2015,"324","362","322","358"
10/30/2015,"302","319","301","322"
10/29/2015,"297","307","292","302"
10/28/2015,"285","297","285","297"
10/27/2015,"285","288","281","285"
10/26/2015,"280","295","280","285"
10/23/2015,"268","279","267","277"
10/22/2015,"269","272","264","268"
10/21/2015,"264","272","263","269"
10/20/2015,"263","266","262","264"
10/19/2015,"270","272","261","263"
10/16/2015,"254","257","253","261"
10/15/2015,"249","255","249","253"
10/14/2015,"246","251","244","249"
10/13/2015,"247","248","245","246"
10/12/2015,"245","248","245","247"
10/09/2015,"244","245","243","244"
10/08/2015,"246","247","244","244"
10/07/2015,"240","248","240","246"
10/06/2015,"239","240","237","240"
10/05/2015,"239","240","238","239"
10/02/2015,"237","239","236","237"
10/01/2015,"237","238","235","237"
09/30/2015,"239","240","236","237"
09/29/2015,"233","240","233","239"
09/28/2015,"235","235","233","233"
09/25/2015,"230","236","230","234"
09/24/2015,"230","232","229","230"
