Date,Open,High,Low,Close
12/31/2014,"310","317","309","317"
12/30/2014,"313","314","309","310"
12/29/2014,"315","320","312","313"
12/26/2014,"319","330","316","329"
12/25/2014,"321","322","317","319"
12/24/2014,"334","334","321","321"
12/23/2014,"330","336","328","334"
12/22/2014,"320","332","319","330"
12/19/2014,"311","316","306","314"
12/18/2014,"320","323","304","311"
12/17/2014,"329","333","314","320"
12/16/2014,"345","346","328","329"
12/15/2014,"351","352","344","345"
12/12/2014,"348","354","346","352"
12/11/2014,"348","361","338","348"
12/10/2014,"351","352","346","348"
12/09/2014,"366","366","344","351"
12/08/2014,"374","375","363","366"
12/05/2014,"372","378","366","378"
12/04/2014,"377","378","367","372"
12/03/2014,"380","383","374","377"
12/02/2014,"379","384","378","380"
12/01/2014,"377","383","375","379"
11/28/2014,"369","381","358","381"
11/27/2014,"367","373","365","369"
11/26/2014,"376","378","366","367"
11/25/2014,"377","393","374","376"
11/24/2014,"367","389","365","377"
11/21/2014,"356","357","342","351"
11/20/2014,"375","379","353","356"
11/19/2014,"376","385","371","375"
11/18/2014,"383","391","370","376"
11/17/2014,"386","410","375","383"
11/14/2014,"403","425","382","401"
11/13/2014,"423","458","386","403"
11/12/2014,"366","432","365","423"
11/11/2014,"366","371","360","366"
11/10/2014,"357","375","357","367"
11/07/2014,"348","351","340","341"
11/06/2014,"339","352","336","348"
11/05/2014,"326","341","326","339"
11/04/2014,"326","330","321","326"
11/03/2014,"324","334","323","326"
10/31/2014,"335","350","332","340"
10/30/2014,"351","352","335","336"
10/29/2014,"351","355","348","351"
10/28/2014,"352","435","346","351"
10/27/2014,"348","438","343","352"
10/24/2014,"380","381","354","355"
10/23/2014,"383","384","378","380"
10/22/2014,"381","389","377","383"
10/21/2014,"386","389","377","381"
10/20/2014,"391","392","383","386"
10/17/2014,"391","396","369","379"
10/16/2014,"403","403","386","391"
10/15/2014,"390","410","386","403"
10/14/2014,"374","392","367","389"
10/13/2014,"360","374","352","374"
10/10/2014,"351","383","347","357"
10/09/2014,"328","351","325","351"
