Date,Open,High,Low,Close
12/31/2021,"47,239","48,564","45,715","46,322"
12/30/2021,"47,233","47,893","46,019","47,239"
12/29/2021,"47,586","48,152","46,664","47,210"
12/28/2021,"50,990","51,228","47,330","47,586"
12/27/2021,"50,802","51,976","50,487","50,996"
12/26/2021,"51,003","51,003","49,568","50,802"
12/25/2021,"50,898","51,144","50,220","51,001"
12/24/2021,"50,849","51,836","50,513","50,898"
12/23/2021,"49,082","51,364","48,077","50,843"
12/22/2021,"49,103","49,557","48,477","49,082"
12/21/2021,"47,013","49,318","46,676","49,059"
12/20/2021,"46,741","47,524","45,581","47,013"
12/19/2021,"46,941","48,285","46,468","46,741"
12/18/2021,"46,946","47,335","45,557","46,941"
12/17/2021,"48,139","48,163","45,539","46,946"
12/16/2021,"49,221","49,398","47,715","48,139"
12/15/2021,"48,280","49,495","46,631","49,221"
12/14/2021,"46,892","48,639","46,378","48,280"
12/13/2021,"49,981","50,380","45,871","46,892"
12/12/2021,"48,847","50,767","48,672","49,981"
12/11/2021,"47,984","49,285","46,880","48,847"
12/10/2021,"47,996","49,982","47,355","47,984"
12/09/2021,"50,634","50,851","47,377","47,996"
12/08/2021,"50,500","51,182","48,750","50,634"
12/07/2021,"50,126","51,942","50,126","50,500"
12/06/2021,"49,275","50,426","47,290","50,007"
12/05/2021,"48,770","49,746","47,892","49,275"
12/04/2021,"53,648","53,874","42,169","48,745"
12/03/2021,"56,904","57,464","52,653","53,672"
12/02/2021,"57,026","57,362","55,859","56,904"
12/01/2021,"57,144","59,093","56,547","57,026"
11/30/2021,"58,266","59,146","55,932","57,144"
11/29/2021,"56,281","58,878","56,104","58,266"
11/28/2021,"54,601","56,402","53,578","56,281"
11/27/2021,"54,101","55,339","53,605","54,601"
11/26/2021,"58,834","59,342","53,577","54,101"
11/25/2021,"57,334","59,399","56,918","58,834"
11/24/2021,"57,696","57,755","55,928","57,334"
11/23/2021,"56,278","57,847","55,537","57,696"
11/22/2021,"59,568","59,574","55,706","56,278"
11/21/2021,"59,682","60,044","58,630","59,568"
11/20/2021,"57,924","59,725","57,570","59,682"
11/19/2021,"57,606","58,396","55,688","57,924"
11/18/2021,"60,101","60,956","56,777","57,583"
11/17/2021,"60,509","61,067","58,567","60,101"
11/16/2021,"63,864","64,015","58,870","60,557"
11/15/2021,"64,361","66,311","63,659","63,864"
11/14/2021,"64,317","65,297","63,673","64,373"
11/13/2021,"64,130","64,941","63,412","64,317"
11/12/2021,"65,030","65,459","62,334","64,072"
11/11/2021,"64,193","65,597","63,984","65,030"
11/10/2021,"67,802","68,925","63,052","64,387"
11/09/2021,"66,143","68,494","66,112","67,802"
11/08/2021,"62,862","66,504","62,817","66,175"
11/07/2021,"61,226","63,058","61,226","62,862"
11/06/2021,"60,966","61,594","60,184","61,223"
11/05/2021,"61,364","62,571","60,791","60,966"
11/04/2021,"62,769","63,211","60,776","61,378"
11/03/2021,"63,140","63,543","61,029","62,769"
11/02/2021,"60,652","64,243","60,460","63,140"
11/01/2021,"60,968","62,466","59,716","60,652"
10/31/2021,"61,698","62,400","60,058","60,968"
10/30/2021,"62,420","62,490","60,876","61,705"
10/29/2021,"61,398","62,943","60,315","62,420"
10/28/2021,"58,957","62,321","57,964","61,465"
10/27/2021,"62,095","62,095","58,153","58,957"
10/26/2021,"62,546","63,272","61,863","62,068"
10/25/2021,"61,153","63,688","60,654","62,546"
10/24/2021,"61,087","61,451","59,571","61,124"
10/23/2021,"60,728","61,716","59,764","61,087"
10/22/2021,"62,707","63,694","60,100","60,752"
10/21/2021,"65,980","66,612","62,368","62,707"
10/20/2021,"64,120","66,923","63,594","65,971"
10/19/2021,"61,369","64,322","61,139","64,120"
10/18/2021,"59,472","62,626","59,395","61,445"
